Handle,Body HTML,Details,Dimensions
marina-dresser,"Combination of natural wood veneer and matt lacquer finish make the bedroom set adorable with quiet look.
Set available as King or Queen Size Bed with Nightstand , Dresser and Mirror. Also you can add a optional Chest, double dresser, or 2 or 4 Door Wardrobe. Hardware used for the bed base is all from Europe. All drawers are equipped with self closing mechanisms.","Color: white, light beige. 
Material: wood veneer, wood-based panel. 
Finish: mat.","Dimensions (in): 48"" W x 2"" D x 24"" H."
marina-dresser,"Combination of natural wood veneer and matt lacquer finish make the bedroom set adorable with quiet look.
Set available as King or Queen Size Bed with Nightstand , Dresser and Mirror. Also you can add a optional Chest, double dresser, or 2 or 4 Door Wardrobe. Hardware used for the bed base is all from Europe. All drawers are equipped with self closing mechanisms.","Color: white, light beige. 
Material: wood veneer, wood-based panel. 
Finish: mat.","Dimensions (in): 59"" W x 17"" D x 35"" H."
marina-nightstand,"Combination of natural wood veneer and matt lacquer finish make the bedroom set adorable with quiet look.
Set available as King or Queen Size Bed with Nightstand , Dresser and Mirror. Also you can add a optional Chest, double dresser, or 2 or 4 Door Wardrobe. Hardware used for the bed base is all from Europe. All drawers are equipped with self closing mechanisms.","Color: white, light beige. 
Material: wood veneer, wood-based panel. 
Finish: mat.","Option: 48"" W x 17"" D x 35"" H."
marbella-nightstand,"From Spain finished in a Black high gloss and complemented with natural ebony veneer wood inserts create this exotic contemporary bedroom setting. Wings as a are part of Headboard give extraordinary look. Available with Standing Mirror, storage platforms, Chest and 2 and 4 Door Wardrobes. All drawers are equipped with self closing mechanisms.","Color: black. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 25"" W x 17"" D x 18"" H."
marbella-dresser,"From Spain finished in a Black high gloss and complemented with natural ebony veneer wood inserts create this exotic contemporary bedroom setting. Wings as a are part of Headboard give extraordinary look. Available with Standing Mirror, storage platforms, Chest and 2 and 4 Door Wardrobes. All drawers are equipped with self closing mechanisms.","Color: black. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 22.83"" W x 18.5"" D x 17.36"" H."
marbella-dresser,"From Spain finished in a Black high gloss and complemented with natural ebony veneer wood inserts create this exotic contemporary bedroom setting. Wings as a are part of Headboard give extraordinary look. Available with Standing Mirror, storage platforms, Chest and 2 and 4 Door Wardrobes. All drawers are equipped with self closing mechanisms.","Color: black. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 58.27"" W x 19.49"" D x 32.91"" H."
marbella-mirror,"From Spain finished in a Black high gloss and complemented with natural ebony veneer wood inserts create this exotic contemporary bedroom setting. Wings as a are part of Headboard give extraordinary look. Available with Standing Mirror, storage platforms, Chest and 2 and 4 Door Wardrobes. All drawers are equipped with self closing mechanisms.","Color: black. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Option: 46.46"" W x 19.21"" D x 36.61"" H."
marbella-standing-mirror,"From Spain finished in a Black high gloss and complemented with natural ebony veneer wood inserts create this exotic contemporary bedroom setting. Wings as a are part of Headboard give extraordinary look. Available with Standing Mirror, storage platforms, Chest and 2 and 4 Door Wardrobes. All drawers are equipped with self closing mechanisms.","Color: black. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 39.37"" W x 0.79"" D x 39.37"" H."
marbella-chest,"From Spain finished in a Black high gloss and complemented with natural ebony veneer wood inserts create this exotic contemporary bedroom setting. Wings as a are part of Headboard give extraordinary look. Available with Standing Mirror, storage platforms, Chest and 2 and 4 Door Wardrobes. All drawers are equipped with self closing mechanisms.","Color: black. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 30"" W x 1.57"" D x 76.46"" H."
marbella-wardrobe,"From Spain finished in a Black high gloss and complemented with natural ebony veneer wood inserts create this exotic contemporary bedroom setting. Wings as a are part of Headboard give extraordinary look. Available with Standing Mirror, storage platforms, Chest and 2 and 4 Door Wardrobes. All drawers are equipped with self closing mechanisms.","Color: black. 
Material: wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 22.83"" W x 18.5"" D x 46.06"" H."
capri-nightstand,"This Set Collection has a modern feel and look. The finish is a high gloss Walnut finish. The Collection brings the modern crisp look and feel with simple satin metal brushed pulls and legs. The collection gives the room a rich, clean look and an open airy feel. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: brown, wenge, walnut, grey, silver. 
Material: solid wood, stainless steel. 
Finish: high gloss lacquer.","Dimensions (in): 35.98"" W x 23.7"" D x 82.68"" H."
capri-dresser,"This Set Collection has a modern feel and look. The finish is a high gloss Walnut finish. The Collection brings the modern crisp look and feel with simple satin metal brushed pulls and legs. The collection gives the room a rich, clean look and an open airy feel. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: brown, wenge, walnut, grey, silver. 
Material: solid wood, stainless steel. 
Finish: high gloss lacquer.","Dimensions (in): 30"" W x 18"" D x 23"" H."
capri-chest,"This Set Collection has a modern feel and look. The finish is a high gloss Walnut finish. The Collection brings the modern crisp look and feel with simple satin metal brushed pulls and legs. The collection gives the room a rich, clean look and an open airy feel. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: brown, wenge, walnut, grey, silver. 
Material: solid wood, stainless steel. 
Finish: high gloss lacquer.","Dimensions (in): 69"" W x 21"" D x 33"" H."
cindy-mirror,"This Set Collection has a modern feel and look. The finish is a high gloss Walnut finish. The Collection brings the modern crisp look and feel with simple satin metal brushed pulls and legs. The collection gives the room a rich, clean look and an open airy feel. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: brown, wenge, walnut, grey, silver. 
Material: solid wood, stainless steel. 
Finish: high gloss lacquer.","Dimensions (in): 39"" W x 21"" D x 57"" H."
prestige-deluxe-nightstand,"Prestige Deluxe Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Bed, elegant and sober, is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: brown, wenge, walnut. 
Material: wood-based panel, stainless steel. 
Finish: high gloss lacquer.","Dimensions (in): 45"" W x 2"" D x 42"" H."
prestige-deluxe-dresser,"Prestige Deluxe Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Bed, elegant and sober, is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: brown, wenge, walnut. 
Material: wood-based panel, stainless steel. 
Finish: high gloss lacquer.","Dimensions (in): 27"" W x 16"" D x 22"" H."
prestige-deluxe-mirror,"Prestige Deluxe Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Bed, elegant and sober, is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: brown, wenge, walnut. 
Material: wood-based panel, stainless steel. 
Finish: high gloss lacquer.","Dimensions (in): 68"" W x 19"" D x 33"" H."
prestige-deluxe-chest,"Prestige Deluxe Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Bed, elegant and sober, is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: brown, wenge, walnut. 
Material: wood-based panel, stainless steel. 
Finish: high gloss lacquer.","Dimensions (in): 45.6"" W x 2"" D x 40.15"" H."
sara-nightstand,"Modern Style Bedroom with High Gloss White Finish. Bed Available as Platform only or With storage. The collection gives the room a rich, clean look and an open airy feel. The Bedroom Set Consist of Queen or King Size Bed, Nightstand, Dresser and Mirror. The Double Dresser , 5-Drawer Chest and 2 and 4 Door Wardrobe are optional items. All drawers are equipped with self closing, self cleaning rail system that provides more smoothness for opening and closing. Hardware used for the bed base are all from Europe.","Color: white. 
Material: fabric, wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 36"" W x 16"" D x 52"" H."
sara-dresser,"Modern Style Bedroom with High Gloss White Finish. Bed Available as Platform only or With storage. The collection gives the room a rich, clean look and an open airy feel. The Bedroom Set Consist of Queen or King Size Bed, Nightstand, Dresser and Mirror. The Double Dresser , 5-Drawer Chest and 2 and 4 Door Wardrobe are optional items. All drawers are equipped with self closing, self cleaning rail system that provides more smoothness for opening and closing. Hardware used for the bed base are all from Europe.","Color: white. 
Material: fabric, wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 25"" W x 17"" D x 14"" H."
sara-dresser,"Modern Style Bedroom with High Gloss White Finish. Bed Available as Platform only or With storage. The collection gives the room a rich, clean look and an open airy feel. The Bedroom Set Consist of Queen or King Size Bed, Nightstand, Dresser and Mirror. The Double Dresser , 5-Drawer Chest and 2 and 4 Door Wardrobe are optional items. All drawers are equipped with self closing, self cleaning rail system that provides more smoothness for opening and closing. Hardware used for the bed base are all from Europe.","Color: white. 
Material: fabric, wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 63"" W x 17"" D x 27"" H."
sara-mirror,"Modern Style Bedroom with High Gloss White Finish. Bed Available as Platform only or With storage. The collection gives the room a rich, clean look and an open airy feel. The Bedroom Set Consist of Queen or King Size Bed, Nightstand, Dresser and Mirror. The Double Dresser , 5-Drawer Chest and 2 and 4 Door Wardrobe are optional items. All drawers are equipped with self closing, self cleaning rail system that provides more smoothness for opening and closing. Hardware used for the bed base are all from Europe.","Color: white. 
Material: fabric, wood veneer, MDF. 
Finish: high gloss lacquer.","Option: 48"" W x 17"" D x 36"" H."
sara-chest,"Modern Style Bedroom with High Gloss White Finish. Bed Available as Platform only or With storage. The collection gives the room a rich, clean look and an open airy feel. The Bedroom Set Consist of Queen or King Size Bed, Nightstand, Dresser and Mirror. The Double Dresser , 5-Drawer Chest and 2 and 4 Door Wardrobe are optional items. All drawers are equipped with self closing, self cleaning rail system that provides more smoothness for opening and closing. Hardware used for the bed base are all from Europe.","Color: white. 
Material: fabric, wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 48"" W x 2"" D x 24"" H."
sara-wardrobe,"Modern Style Bedroom with High Gloss White Finish. Bed Available as Platform only or With storage. The collection gives the room a rich, clean look and an open airy feel. The Bedroom Set Consist of Queen or King Size Bed, Nightstand, Dresser and Mirror. The Double Dresser , 5-Drawer Chest and 2 and 4 Door Wardrobe are optional items. All drawers are equipped with self closing, self cleaning rail system that provides more smoothness for opening and closing. Hardware used for the bed base are all from Europe.","Color: white. 
Material: fabric, wood veneer, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 25"" W x 17"" D x 45"" H."
dafne-nightstand,Stylish White High Gloss Finish Bedroom from Spain.,"Color: white.
Material: wood-based panel, metal, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 39"" W x 24"" D x 67"" H."
dafne-chest,Stylish White High Gloss Finish Bedroom from Spain.,"Color: white.
Material: wood-based panel, metal, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 27.17"" W x 16.14"" D x 22.44"" H."
dafne-wardrobe,Stylish White High Gloss Finish Bedroom from Spain.,"Color: white.
Material: wood-based panel, metal, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 39"" W x 52"" D x 51.5"" H."
dafne-wardrobe,Stylish White High Gloss Finish Bedroom from Spain.,"Color: white.
Material: wood-based panel, metal, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 106"" W x 24"" D x 90.5"" H."
dafne-dresser,Stylish White High Gloss Finish Bedroom from Spain.,"Color: white.
Material: wood-based panel, metal, MDF. 
Finish: high gloss lacquer.","Option: 85"" W x 24"" D x 90.5"" H."
dafne-mirror,Stylish White High Gloss Finish Bedroom from Spain.,"Color: white.
Material: wood-based panel, metal, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 68.11"" W x 21"" D x 33"" H."
ambra-wardrobe,"Wooden Headboard bed with Lights Legno style with smaller night stands in stock and other headboard and night stands available for special order. 
Shining surfaces and harmonious contrasts between the chiaroscuro of the birch and the depth of Black Nickel
details are the leit-motif of Ambra collection.","Color: light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 39"" W x 41.5"" D x 1.5"" H."
ambra-nightstand,"Wooden Headboard bed with Lights Legno style with smaller night stands in stock and other headboard and night stands available for special order. 
Shining surfaces and harmonious contrasts between the chiaroscuro of the birch and the depth of Black Nickel
details are the leit-motif of Ambra collection.","Color: light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.",
ambra-dresser,"Wooden Headboard bed with Lights Legno style with smaller night stands in stock and other headboard and night stands available for special order. 
Shining surfaces and harmonious contrasts between the chiaroscuro of the birch and the depth of Black Nickel
details are the leit-motif of Ambra collection.","Color: light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 24"" W x 16.5"" D x 23"" H."
ambra-mirror,"Wooden Headboard bed with Lights Legno style with smaller night stands in stock and other headboard and night stands available for special order. 
Shining surfaces and harmonious contrasts between the chiaroscuro of the birch and the depth of Black Nickel
details are the leit-motif of Ambra collection.","Color: light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 68"" W x 19"" D x 32"" H."
ambra-chest,"Wooden Headboard bed with Lights Legno style with smaller night stands in stock and other headboard and night stands available for special order. 
Shining surfaces and harmonious contrasts between the chiaroscuro of the birch and the depth of Black Nickel
details are the leit-motif of Ambra collection.","Color: light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 47"" W x 1"" D x 35"" H."
aida-nightstand,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: black, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 19"" W x 32"" D x 45"" H."
aida-dresser,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: black, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 22"" W x 15"" D x 21"" H."
aida-mirror,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: black, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 67"" W x 17"" D x 31"" H."
aida-wardrobe,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: black, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 41"" W x 3"" D x 47"" H."
aida-vanity-dresser,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: black, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 70"" W x 21"" D x 86"" H."
dama-bianca-wardrobe,"Made in Italy design with elegant high gloss white finish aesthetic taste.
• Blend of geometrical lines and curved elements.
• Elegant form and functionality compromise.
• Design with typical “Made in Italy” flair.
Thick curved drawer fronts, with integrated handle and hidden soft-closing total extraction metal runners by Blum. Modern Bedroom Furniture Sets.","Color: white.
Material: fabric, wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 68"" W x 15"" D x 31"" H."
dama-bianca-wardrobe,"Made in Italy design with elegant high gloss white finish aesthetic taste.
• Blend of geometrical lines and curved elements.
• Elegant form and functionality compromise.
• Design with typical “Made in Italy” flair.
Thick curved drawer fronts, with integrated handle and hidden soft-closing total extraction metal runners by Blum. Modern Bedroom Furniture Sets.","Color: white.
Material: fabric, wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 73"" W x 24"" D x 90"" H."
dama-bianca-nightstand,"Made in Italy design with elegant high gloss white finish aesthetic taste.
• Blend of geometrical lines and curved elements.
• Elegant form and functionality compromise.
• Design with typical “Made in Italy” flair.
Thick curved drawer fronts, with integrated handle and hidden soft-closing total extraction metal runners by Blum. Modern Bedroom Furniture Sets.","Color: white.
Material: fabric, wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 22"" W x 19"" D x 17.5"" H."
dama-bianca-dresser,"Made in Italy design with elegant high gloss white finish aesthetic taste.
• Blend of geometrical lines and curved elements.
• Elegant form and functionality compromise.
• Design with typical “Made in Italy” flair.
Thick curved drawer fronts, with integrated handle and hidden soft-closing total extraction metal runners by Blum. Modern Bedroom Furniture Sets.","Color: white.
Material: fabric, wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 50"" W x 22"" D x 30.5"" H."
dama-bianca-mirror,"Made in Italy design with elegant high gloss white finish aesthetic taste.
• Blend of geometrical lines and curved elements.
• Elegant form and functionality compromise.
• Design with typical “Made in Italy” flair.
Thick curved drawer fronts, with integrated handle and hidden soft-closing total extraction metal runners by Blum. Modern Bedroom Furniture Sets.","Color: white.
Material: fabric, wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 47"" W x 2"" D x 36"" H."
m137-nightstand,Affordable modern Night Table. ,"Color: white.
Material: wood-based panel.
Finish: high gloss lacquer.","Dimensions (in): 24"" W x 17"" D x 21"" H."
adagio-chest,Modern Bedroom Furniture set w/Storage made in Spain.,"Color: grey, silver, light beige.
Material: eco leather, fabric, MDF.
Finish: high gloss lacquer.","Dimensions (in): 24"" W x 19"" D x 49"" H."
adagio-mirror,Modern Bedroom Furniture set w/Storage made in Spain.,"Color: grey, silver, light beige.
Material: eco leather, fabric, MDF.
Finish: high gloss lacquer.","Dimensions (in): 39"" W x 39"" D x 2"" H."
adagio-dresser,Modern Bedroom Furniture set w/Storage made in Spain.,"Color: grey, silver, light beige.
Material: eco leather, fabric, MDF.
Finish: high gloss lacquer.","Dimensions (in): 43"" W x 20"" D x 35"" H."
adagio-nightstand,Modern Bedroom Furniture set w/Storage made in Spain.,"Color: grey, silver, light beige.
Material: eco leather, fabric, MDF.
Finish: high gloss lacquer.","Dimensions (in): 20"" W x 15"" D x 24"" H."
velvet-wardrobe,Beautiful addition to any modern bedroom. ,"Color: white, yellow, gold, grey, silver, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.",
velvet-wardrobe,Beautiful addition to any modern bedroom. ,"Color: white, yellow, gold, grey, silver, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.",
velvet-dresser,Beautiful addition to any modern bedroom. ,"Color: white, yellow, gold, grey, silver, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 62.99"" W x 15.75"" D x 37.01"" H."
velvet-dresser,Beautiful addition to any modern bedroom. ,"Color: white, yellow, gold, grey, silver, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Option: 47.24"" W x 15.75"" D x 40.94"" H."
velvet-mirror,Beautiful addition to any modern bedroom. ,"Color: white, yellow, gold, grey, silver, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 59.06"" W x 1.97"" D x 27.56"" H."
velvet-mirror,Beautiful addition to any modern bedroom. ,"Color: white, yellow, gold, grey, silver, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Option: 39.37"" W x 1.97"" D x 39.37"" H."
velvet-chest,Beautiful addition to any modern bedroom. ,"Color: white, yellow, gold, grey, silver, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 23.62"" W x 15.75"" D x 48.82"" H."
velvet-nightstand,Beautiful addition to any modern bedroom. ,"Color: white, yellow, gold, grey, silver, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 21.65"" W x 15.75"" D x 25.2"" H."
storm-chest,"Definite lines and high tech shapes place bedroom STORM within a young and dynamic reality.
Accessories, lamps and flashes of white light wrapping the settings, enhance the quality and creativity
of a product.","Color: brown, wenge, walnut.
Material: MDF.
Finish: mat.","Dimensions (in): 23"" W x 17"" D x 44"" H."
storm-nightstand,"Definite lines and high tech shapes place bedroom STORM within a young and dynamic reality.
Accessories, lamps and flashes of white light wrapping the settings, enhance the quality and creativity
of a product.","Color: brown, wenge, walnut.
Material: MDF.
Finish: mat.","Dimensions (in): 23"" W x 17"" D x 18"" H."
storm-dresser,"Definite lines and high tech shapes place bedroom STORM within a young and dynamic reality.
Accessories, lamps and flashes of white light wrapping the settings, enhance the quality and creativity
of a product.","Color: brown, wenge, walnut.
Material: MDF.
Finish: mat.","Dimensions (in): 54"" W x 20"" D x 31"" H."
storm-mirror,"Definite lines and high tech shapes place bedroom STORM within a young and dynamic reality.
Accessories, lamps and flashes of white light wrapping the settings, enhance the quality and creativity
of a product.","Color: brown, wenge, walnut.
Material: MDF.
Finish: mat.","Dimensions (in): 51"" W x 1"" D x 32"" H."
leonor-mirror,"Microfiber burgundy storage bed available in Queen and King size with High Gloss Finish Nightstands and Dresser. Chest available as well for complete set. The Bed gives contemporary design, stylish look and comfort. This set will look dazzling in your bedroom. ","Color: white, red, orange, mahogany, pink, purple.
Material: fabric, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 42"" W x 1"" D x 28"" H."
leonor-dresser,"Microfiber burgundy storage bed available in Queen and King size with High Gloss Finish Nightstands and Dresser. Chest available as well for complete set. The Bed gives contemporary design, stylish look and comfort. This set will look dazzling in your bedroom. ","Color: white, red, orange, mahogany, pink, purple.
Material: fabric, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 44"" W x 18"" D x 35"" H."
leonor-nightstand,"Microfiber burgundy storage bed available in Queen and King size with High Gloss Finish Nightstands and Dresser. Chest available as well for complete set. The Bed gives contemporary design, stylish look and comfort. This set will look dazzling in your bedroom. ","Color: white, red, orange, mahogany, pink, purple.
Material: fabric, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 24"" W x 16"" D x 23"" H."
leonor-chest,"Microfiber burgundy storage bed available in Queen and King size with High Gloss Finish Nightstands and Dresser. Chest available as well for complete set. The Bed gives contemporary design, stylish look and comfort. This set will look dazzling in your bedroom. ","Color: white, red, orange, mahogany, pink, purple.
Material: fabric, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 24"" W x 18"" D x 52"" H."
mar-chest,"Modern headboard although manufactured with numerous materials usually difficult to combine offers a soft, elegant and cozy bed look.
Wood veneer (Walnut veneer color natural), High gloss white lacquer and upholstered eco white leather central part with wood trimmings have been employed, as well as glass shelves and lights adding that little extra function and style. ","Color: white, brown, wenge, walnut.
Material: eco leather, wood veneer.
Finish: mat.","Dimensions (in): 24.8"" W x 16.54"" D x 41.34"" H."
mar-dresser,"Modern headboard although manufactured with numerous materials usually difficult to combine offers a soft, elegant and cozy bed look.
Wood veneer (Walnut veneer color natural), High gloss white lacquer and upholstered eco white leather central part with wood trimmings have been employed, as well as glass shelves and lights adding that little extra function and style. ","Color: white, brown, wenge, walnut.
Material: eco leather, wood veneer.
Finish: mat.","Dimensions (in): 62.2"" W x 16.54"" D x 31.89"" H."
mar-dresser,"Modern headboard although manufactured with numerous materials usually difficult to combine offers a soft, elegant and cozy bed look.
Wood veneer (Walnut veneer color natural), High gloss white lacquer and upholstered eco white leather central part with wood trimmings have been employed, as well as glass shelves and lights adding that little extra function and style. ","Color: white, brown, wenge, walnut.
Material: eco leather, wood veneer.
Finish: mat.","Option: 47.24"" W x 16.54"" D x 31.89"" H."
mar-mirror,"Modern headboard although manufactured with numerous materials usually difficult to combine offers a soft, elegant and cozy bed look.
Wood veneer (Walnut veneer color natural), High gloss white lacquer and upholstered eco white leather central part with wood trimmings have been employed, as well as glass shelves and lights adding that little extra function and style. ","Color: white, brown, wenge, walnut.
Material: eco leather, wood veneer.
Finish: mat.","Dimensions (in): 47.24"" W x 1.57"" D x 23.62"" H."
mar-nightstand,"Modern headboard although manufactured with numerous materials usually difficult to combine offers a soft, elegant and cozy bed look.
Wood veneer (Walnut veneer color natural), High gloss white lacquer and upholstered eco white leather central part with wood trimmings have been employed, as well as glass shelves and lights adding that little extra function and style. ","Color: white, brown, wenge, walnut.
Material: eco leather, wood veneer.
Finish: mat.","Dimensions (in): 24.8"" W x 16.54"" D x 31.78"" H."
mar-nightstand,"Modern headboard although manufactured with numerous materials usually difficult to combine offers a soft, elegant and cozy bed look.
Wood veneer (Walnut veneer color natural), High gloss white lacquer and upholstered eco white leather central part with wood trimmings have been employed, as well as glass shelves and lights adding that little extra function and style. ","Color: white, brown, wenge, walnut.
Material: eco leather, wood veneer.
Finish: mat.","Option: 24.8"" W x 16.54"" D x 31.78"" H."
