Code	Name	Description 2	Price	MAP price	Default set qts	Width	Depth	Height	Weight	Volume	Manufacturer	Category Type	Stock Status	New Arrivals	Parent Category	Category	Refine Categories	Image 1	Image 2	Image 3	Image 4	Image 5	Image 6	Image 7	Image 8	Image 9	Image 10	Image 11	Image 12	Image 13	Image 14	Qty	No of Boxes	(Box 1) Markings	(Box 1) Depth	(Box 1) Width	(Box 1) Height	(Box 1) Weight	(Box 2) Markings	(Box 2) Depth	(Box 2) Width	(Box 2) Height	(Box 2) Weight	(Box 3) Markings	(Box 3) Depth	(Box 3) Width	(Box 3) Height	(Box 3) Weight	(Box 4) Markings	(Box 4) Depth	(Box 4) Width	(Box 4) Height	(Box 4) Weight	(Box 5) Markings	(Box 5) Depth	(Box 5) Width	(Box 5) Height	(Box 5) Weight	(Box 6) Markings	(Box 6) Depth	(Box 6) Width	(Box 6) Height	(Box 6) Weight	(Box 7) Markings	(Box 7) Depth	(Box 7) Width	(Box 7) Height	(Box 7) Weight	(Box 8) Markings	(Box 8) Depth	(Box 8) Width	(Box 8) Height	(Box 8) Weight	(Box 9) Markings	(Box 9) Depth	(Box 9) Width	(Box 9) Height	(Box 9) Weight	(Box 10) Markings	(Box 10) Depth	(Box 10) Width	(Box 10) Height	(Box 10) Weight	(Box 11) Markings	(Box 11) Depth	(Box 11) Width	(Box 11) Height	(Box 11) Weight	(Box 12) Markings	(Box 12) Depth	(Box 12) Width	(Box 12) Height	(Box 12) Weight	(Box 13) Markings	(Box 13) Depth	(Box 13) Width	(Box 13) Height	(Box 13) Weight	(Box 14) Markings	(Box 14) Depth	(Box 14) Width	(Box 14) Height	(Box 14) Weight	(Box 15) Markings	(Box 15) Depth	(Box 15) Width	(Box 15) Height	(Box 15) Weight	sku	Parent  Sku	Color	Material	Finish
PLATINUM2DOORCHINA	Platinum 2-Door China		942	1648.5	1	44	19	75	285																							1	6		24	17	3	0		47	21	6	0		9	6	3	0		72	27	3	0		74	21	3	0		74	44	1	0																																														i17705	p8340			
	1001 Coffee Table SET	Contemporary Square 3 Colors Coffee Table perfect to add your space modern and fresh look.  <iframe width="560" height="315" src="https://www.youtube.com/embed/_A5HQKImRVI" frameborder="0" allowfullscreen></iframe>	220	385							ESF Extravaganza Collection	LIVING	stock	FALSE	Living Room Furniture	Coffee and End Tables	Living Room,Coffee Tables and End Tables,Modern,Other Material	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Coffee-and-End-Tables_1001-Coffee-Table.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Coffee-and-End-Tables_1001-Coffee-Table_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Coffee-and-End-Tables_1001-Coffee-Table_side_2.jpg																																																																																									p6964		Black, White, Brown/Wenge/Walnut	MDF	High Gloss Lacquer
1001COFFEETABLE	1001 Coffee Table		220	385	1	32	32	13	65																							1	1	Box 1	34	34	15	75																																																																							i11045	p6964			
	2383 Sectional SET	Contemporary living room sectional. Stock color : 920 White Upholstery Material : Top-grain Leather/Eco Leather on the Back  Current stock color combination: stainless steel legs with Silver chroming  Seat Depth: 22.44" (57cm) Seat Height: 17.72" (45cm)  	1580	2765							ESF Extravaganza Collection	LIVING	stock	FALSE	Living Room Furniture	Sectionals	Living Room,Sectionals,Style,Modern,Texture,Leather	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_2383-Sectional.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_2383-Sectional_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_2383-Sectional_side_4.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_2383-Sectional_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_2383-Sectional_side_5.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_2383-Sectional_side_3.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_2383-Sectional_side_6.jpg																																																																																					p8176		White	Top-grain Leather Front/Eco Leather Back	N/A
2383SECTIONALLEFT	2383 Sectional Left		1580	2765	1	123.5/102.7	42	36.5	250																							1	3	2383-1L	42	75	37	114	2383-2L	50	50	37	77	2383-3L	54	42	37	65																																																													i17278	p8176			
2383SECTIONALRIGHT	2383 Sectional Right		1580	2765	0	123.5/102.7	42	36.5	250																							0	3	2383-1R	42	75	37	114	2383-2R	50	50	37	77	2383-3R	54	42	37	65																																																													i17279	p8176			
	Elite Dining Room Brown  Silver Birch SET	Contemporary Dining room furniture with an extendable table. The table in stock includes 2 extensions. The mechanism can contain 4 extensions. The 2 extra should be ordered separately as special order ( using all 4 extensions, the table can open till 4 meters or 157.5 inches)  THE FABRIC :  ECO LEATHER NABUK COL. 12 TABLE: TOP -WOOD , BASE - METAL  Finish : High gloss lacquered finish      	3448	6034							Camelgroup Italy	DINING	stock	FALSE	Dining Room Furniture	Modern Dining Room Sets	Dining Room,Formal Dining Room,Modern	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Elite-Dining.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Elite-Dining_side_3.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Elite-Dining_side_4.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Elite-Dining_side_2.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Elite-Dining_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Elite-Dining_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Elite-Dining_side_5.gif																																																																																					p9876		Brown/Wenge/Walnut, Grey/Silver	Eco Leather, Solid Wood, Glass, MDF	High Gloss Lacquer
ELITEBUFFET	3 Door Wooden Buffet		921	1611.75	1	74	22	34	276																							1	1		34	74	22	0																																																																							i22265	p9876			
ELITEMIRRORFORBUFFET	Mirror		301	526.75	1	63	2	31	58																							1	1	BOX 1	4	65	33	66																																																																							i22266	p9876			
ELITECHAIR	Side Chair		239	418.25	4	19	24	42	21																							4	1		28	21	45	45																																																																							i22264	p9876			
ELITE2DRCABINET	2 Door China		1364	2387	0	49	17	78	346																							0	0																																																																												i22262	p9876			
ELITETABLE	Dining Table w/2 extensions		1270	2222.5	1	79/98/118	41	31	150																							1	0																																																																												i22263	p9876			
	Apolo Black SET	Stock Color : #19 Upholstery Material: Top-grain Leather/Split Leather on the Back Removable Cushions This luxury living room set has an inviting appeal and comfort. Sofa, Loveseat and Chair are wrapped in finest genuine Italian leather.  You can always special order it in variety of colors.  Seat: Depth - 24" Height - 19" 	2340	4095							ESF Extravaganza Collection	LIVING	stock	FALSE	Living Room Furniture	Sofas Loveseats and Chairs	Living Room,3 pcs Sets,Sofa beds,Coffee Tables and End Tables,Classic,Leather	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Black.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Black_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Black_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Black_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Black_side_3.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Black_side_4.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Black_side_5.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Black_side_6.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Black_side_7.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Black_side_8.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Black_side_9.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Black_side_10.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Black_side_11.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Black_side_12.jpg																																																																														p9139		Black	Top-grain Leather Front/Split Leather Back	N/A
APOLO2BLACK	Apolo Loveseat Black		770	1347.5	1	69	38	37.4	158																							1	1	BOX 1	39	70	39	102																																																																							i20868	p9139			
APOLO1BLACK	Aplolo Chair Black		540	945	1	48	38	35.4	59																							1	1	APOLO1BLACK-1	39	49	39	60																																																																							i20869	p9139			
APOLO3BLACK	Apolo Sofa (NO BED) Black		1030	1802.5	1	87	38	37.4	237																							1	1	BOX 1	39	88	39	240																																																																							i20867	p9139			
APOLO3BEDBLACK	Apolo Sofa-Bed Black		1220	2135	0	87	38	37.4	300																							0	1	APOLO3BEDBLACK-1	39	88	39	163																																																																							i20870	p9139			
APOLOCTABLEBLACK	Apolo Coffee Table Black		250	437.5	0	49	25	21	65																							0	2	BOX 1	50	52	24	35	BOX 2	24	52	4	34																																																																		i20871	p9139			
APOLOENDTABLEBLACK	Apolo End Table Black		180	315	0	27	25	21	40																							0	2	BOX 1	30	30	25	30	BOX 2	25	30	3	15																																																																		i20872	p9139			
	116 Sofa Bed Yellow SET	Minimalistic design, strict geometric shapes allow the 116 sofa-bed to blend harmoniously into the living room in the Scandinavian style or any modern interior.  3 Seat sofa-bed Color: grey Material: Fabric Density: 38 Legs: Wood  Bed sleeping area: W45 x D72" Seat Height: 15" Seat Depth: 24"	370	647.5							ESF Extravaganza Collection	LIVING	stock	FALSE	Living Room Furniture	Sofas Loveseats and Chairs with Sleepers	Living Room,Sofa beds,Modern,Fabric	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sofa-Beds_116-Sofa-Bed-Yellow.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sofa-Beds_116-Sofa-Bed-Yellow_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sofa-Beds_116-Sofa-Bed-Yellow_side_2.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sofa-Beds_116-Sofa-Bed-Yellow_side_3.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sofa-Beds_116-Sofa-Bed-Yellow_side_4.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sofa-Beds_116-Sofa-Bed-Yellow_side_5.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sofa-Beds_116-Sofa-Bed-Yellow_side_6.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sofa-Beds_116-Sofa-Bed-Yellow_side_7.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sofa-Beds_116-Sofa-Bed-Yellow_side_8.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sofa-Beds_116-Sofa-Bed-Yellow_side_9.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sofa-Beds_116-Sofa-Bed-Yellow_side_1.jpg																																																																																	p9896		Yellow/Gold	Fabric, MDF	N/A
116SOFABEDYELLOW	116 Sofa Bed Yellow		370	647.5	1	84	35	35	136																							1	1		34	84	34	0																																																																							i22379	p9896			
	Apolo Pearl SET	Stock Color : #31 Perl, Shiny Crocodile embossed leather  Upholstery Material: Top-grain Leather/Split Leather on the Back. Removable Cushions This luxury furniture will add new look to your space. 	2340	4095							ESF Extravaganza Collection	LIVING	stock	FALSE	Living Room Furniture	Sofas Loveseats and Chairs	Living Room,3 pcs Sets,Classic,Leather	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_3.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_4.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_5.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_6.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_7.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_8.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_9.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_10.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_11.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_12.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_13.jpg																																																																														p9247		White, Light Beige	Top-grain Leather Front/Split Leather Back	Shiny
APOLOCTABLEPEARL	Apolo Coffee Tabel Pearl		250	437.5	0	49	25	21	65																							0	2	Box 1	27	51	3	15	Box 2	27	51	23	50																																																																		i22001	p9247			
APOLOENDTABLEPEARL	Apolo End Tabel Pearl		180	315	0	27	25	21	40																							0	2	Box 1	27	29	3	10	Box 2	27	29	23	30																																																																		i22002	p9247			
APOLO3PEARL	Apolo Sofa (NO BED) Pearl		1030	1802.5	1	87	38	37.4	237																							1	1	Box 1	40	90	40	247																																																																							i21486	p9247			
APOLO2PEARL	Apolo Lovesea Pearl		770	1347.5	1	69	38	37.4	158																							1	1	Box 1	40	71	40	168																																																																							i21487	p9247			
APOLO1PEARL	Aplolo Chair Pearl		540	945	1	48	38	35.4	59																							1	1	Box 1	40	50	40	70																																																																							i21488	p9247			
APOLO3BEDPEARL	Apolo Sofa-Bed Pearl		1220	2135	0	87	38	37.4	300																							0	1	Box 1	40	90	40	310																																																																							i21489	p9247			
	1705 with Electric Recliners SET	Sofa w/2 electric recliners Loveseat w/2 electric recliner Chair w/electric recliner  Living Room Furniture Sets 1705 w/Electric Recliner Set is characterized by its simple shapes that make it an ideal fit for rooms designed in various styles.  Material: Top-grain Leather/Eco Leather Back Color: Light Grey  Stock leather Color : HL Light grey 8015 Fully reclined length: 63.39" (161cm) Seat Height – 18 inches Seat Dept – 20 inches 	2730	4777.5							ESF Extravaganza Collection	LIVING	stock	FALSE	Living Room Furniture	Sofas Loveseats and Chairs	Living Room,3 pcs Sets,Recliner, sliding, massage,Modern,Leather	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner_side_2.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner_side_3.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner_side_4.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner_side_5.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner_side_6.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner_side_2.jpg																																																																																			p9506		White, Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A
17051	1705 1 Chair w/1 electric recliner		590	1032.5	1	43	39	40	135																							1	1	Box1	43	47	44	145																																																																							i21849	p9506			
17052	1705 2 Loveseat w/2 electric recliners		970	1697.5	1	66	39	40	207																							1	1	Box 2	43	70	44	217																																																																							i21848	p9506			
17053	1705 3 Sofa w/2 electric recliners		1170	2047.5	1	85	39	40	266																							1	1	1705 sofa	43	88	43	270																																																																							i21847	p9506			
	Mangano Dining SET	Mangano Dining room furniture set consists of 2 door china, table with 2 extension, chairs, 3 door buffet and mirror. This sophisticated set blends harmoniously into modern interiors and will become a stylish solution for any dining area. Popular white and grey combination of colors.  Finish: high gloss white and grey/brown. Dining Table with 2 extension. Manufactured according to European and international standards.  Made in Italy	1110	1942.5							European Collection	DINING	stock	FALSE	Dining Room Furniture	Modern Dining Room Sets	Dining Room,Formal Dining Room,Dining Chairs,Modern	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Dining-Room-Sets_Mangano-Dining.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Dining-Room-Sets_Mangano-Dining_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Dining-Room-Sets_Mangano-Dining_side_1.jpg																																																																																									p10889		White, Brown/Wenge/Walnut, Grey/Silver	Wood veneer, Wood-based panel	High Gloss Lacquer
MANGANO2DRCHINA	Mangano 2 Door China		550	962.5	0	43.5	17.8	71																								0	3	2D CURIO	19	46	70	0	2D CURIO DOORS	22	1	65	0	2D CURIO SHELVES	18	2	42	0																																																													i25536	p10889			
MANGANOBUFFET3DR	Mangano 3 Door Buffet		480	840	0	68.5	17.8	33																								0	1	3D BUFFET	19	70	32	0																																																																							i25537	p10889			
MANGANOCHAIR	Mangano Side Chair		85	148.75	4	19	16	42	20																							4	1		18	20	45	42																																																																							i25538	p10889			
MANGANOMIRRORFORBUFF	Mangano Mirror for Buffet		120	210	0	47.5	37.5	1																								0	1	MIRROR	2	50	41	0																																																																							i25539	p10889			
MANGANOTABLE	Mangano Dining Table w/2ext		770	1347.5	1	69/87/105	41.35	30																								1	3	Table Top	43	72	4	0	Table Leaves	43	17	5	0	Table Legs	6	15	30	0																																																													i25540	p10889			
	430 Sectional  Off White SET	Our new L430 Leather sectional is functional and stylish. Seats and backs have medium-density foam to give you extra comfort and support.Modern design leather sectional. Color: Off White color,  K308 Thick Leather  Seat depth: 22.44 inch	2100	3675							ESF Extravaganza Collection	LIVING	stock	FALSE	Living Room Furniture	Sectionals	Living Room,Sectionals,Coffee Tables and End Tables,Modern,Leather	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_430-Sectional-Off-White.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_430-Sectional-Off-White_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_430-Sectional-Off-White_side_1.jpg																																																																																									p8640		White	Top-grain Leather Front/Eco Leather Back	N/A
430RIGHT	430 Sectional Right	Left 2 Seater :182*105*93(cm) Corner:122*122*93 Middle 2 Seater: 160*105*93 Chaise:102*178*93 A thick leather(1.4-1.5)/pvc, Chase on the right when facing 	2100	3675	1	151	120	31/37																								1	4	Loveseat	41	70	32	0	Corner	50	50	32	0	Armless Loveseat	41	65	32	0	Chaise	41	71	32	0																																																								i18127	p8640			
430LEFT	430 Sectional Left	Chase on the Left when facing	2100	3675	0	151	120	31/37																								0	4	Loveseat	41	70	32	0	Corner	50	50	32	0	Armless Loveseat	41	65	32	0	Chaise	41	71	32	0																																																								i27112	p8640			
430OTTOMAN	430  Coffee Table	Black Glass on top.	240	420	0	40	40	19																								0	1		41	41	14	0																																																																							i27113	p8640			
	950 Sectional with 1 Electric Recliner SET	950 Electric leather Sectional has a quiet modern appeal which will easily blend with any contemporary home setting.  Stock Color: Brown  Material: Top-grain Leather/Eco Leather Back Stock Color : 288 brown	1230	2152.5							ESF Extravaganza Collection	LIVING	stock	FALSE	Living Room Furniture	Sectionals	Living Room,Sectionals,Recliner, sliding, massage,Modern,Leather,Other Material	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_950-Electric-Sectional.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_950-Electric-Sectional_side_8.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_950-Electric-Sectional_side_7.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_950-Electric-Sectional_side_5.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_950-Electric-Sectional_side_6.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_950-Electric-Sectional_side_10.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_950-Electric-Sectional_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_950-Electric-Sectional_side_3.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_950-Electric-Sectional_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_950-Electric-Sectional_side_2.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_950-Electric-Sectional_side_4.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_950-Electric-Sectional_side_9.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_950-Electric-Sectional_side_1.jpg																																																																															p9569		Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A
950SECTIONALRIGHT	950-Sectional-Right		1230	2152.5	1	117	41/69(chaise)	30/38	313									http://www.esfwholesalefurniture.com/images/product/fullsize/9569_950-Sectional-Right_item_1.gif														1	3	Chaise	40	69	23	174	Chair	42	34	27	86	Corner	42	21	27	53																																																													i21886	p9569			
950SECTIONALLEFT	950-Sectional-Left		1230	2152.5	0	117	41/69(chaise)	30/38	313									http://www.esfwholesalefurniture.com/images/product/fullsize/9569_950-Sectional-Left_item_1.gif														0	3	Chaise	40	69	23	174	Chair	42	34	27	86	Corner	42	21	27	53																																																													i21921	p9569			
	M137 Night Stand SET	Affordable modern Night Table. Finish : White High Gloss with Soft closing drawers.	185	323.75							Dupen  Spain	BEDROOMS	stock	FALSE	Bedroom  Furniture	Nightstands	Bedroom,Nightstands, Dressers, Chests,Modern,N/A	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Nightstands_M137-Night-Stand.gif																																																																																											p10929		White	Wood-based panel	High Gloss Lacquer
M137	M137  N/S White		185	323.75	1	24	17	21	40																							1	1		20	27	24	48																																																																							i25682	p10929			
	Dover Beige Night SET	Modern Bedroom Furniture set Made in Italy  *Stock handles: Intreccio *Stock Color: Collins 1 Beige *Headboard: Eco-Leather Brown  The stock option has no lights, lights available to order for special order.	1035	1811.25							MCS  Italy	BEDROOMS	stock	FALSE	Bedroom  Furniture	Modern Bedrooms	Bedroom,Bedgroups,Wardrobes,Modern,Queen Size/King Size	http://www.esfwholesalefurniture.com/images/product/fullsize/Brands_MCS-Modern-Bedrooms_Dover-Beige-Night.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Brands_MCS-Modern-Bedrooms_Dover-Beige-Night_side_3.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Brands_MCS-Modern-Bedrooms_Dover-Beige-Night_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Brands_MCS-Modern-Bedrooms_Dover-Beige-Night_side_2.gif																																																																																								p10645		Brown/Wenge/Walnut, Light Beige	Wood-based panel	High Gloss Lacquer
DOVER4DWARDROBEBEIGE	4 Door Wardrobe	2 Wooden door + 2 glass door	470	822.5	0	71	22	83																								0	0																																																																												i24857	p10645			
	Top w/light for 4/D Wardrobe	SPECIAL ORDER	122	213.5	0																											0	0																																																																												i24858	p10645			
	6 Door Wardrobe	SPECIAL ORDER 4 wooden doors + 2 mirror door	743	1300.25	0																											0	0																																																																												i24859	p10645			
	Top w/light for 6/D Wardrobe	SPECIAL ORDER	165	288.75	0																											0	0																																																																												i24860	p10645			
DOVERKSBEDBEIGE	Dover KS Bed	need wooden slat frame	470	822.5	0	80	81	43																								0	0																																																																												i24861	p10645			
DOVERQSBEDBEIGE	Dover QS Bed	need wooden slat frame	400	700	1	67	81	43																								1	0																																																																												i24862	p10645			
DOVERN/SBEIGE	Night Stand		120	210	2	20	14.5	18	28																							2	2	Night Stand	17	22	20	25	Handles	5	5	5	2																																																																		i24863	p10645			
DOVERSINGDRESSERBEIG	Single Dresser		280	490	1	40	18	30																								1	0																																																																												i24864	p10645			
DOVERMIRRORBEIGE	Mirror		50	87.5	1	43	1	27.5																								1	0																																																																												i24865	p10645			
	Light For Bed	SPECIAL ORDER	62	108.5	0																											0	0																																																																												i24866	p10645			
	Extra shelf 2 door unit	SPECIAL ORDER	20	35	0																											0	0																																																																												i24867	p10645			
	3 Drawers Unit for Wardrobe	SPECIAL ORDER	129	225.75	0																											0	0																																																																												i24868	p10645			
	low dividing panel	SPECIAL ORDER	58	101.5	0																											0	0																																																																												i24869	p10645			
DOVERDDRESSERBEIGE	Double Dresser		450	787.5	0																											0	0																																																																												i25008	p10645			
WFRAMEKINGS	Wooden Slats Frame KS 193x202		90	157.5	0	38*2	79	11	25																							0	1		80	39	12	26																																																																							i25009	p10645			
WFRAMEQUEENS	Wooden Slats Frame QS		65	113.75	1	30*2	79	11	20																							1	1		80	31	12	21																																																																							i25010	p10645			
